Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Russian Federation,Narva,-0.9389795679452096,0,0.0,0,0.2761239649869838,0,-0.9071450750155413,0,-2.1442269807278684,0
Russian Federation,Nevinnomyssk,-0.09492012650554822,0,0.0,0,1.3962951617011767,0,-0.33520828402850383,0,-0.7034377160614579,0
Russian Federation,Nikolskoye,-1.3285454639942842,0,0.0,0,-0.24087812580418222,0,-0.9071450750155413,0,-1.9307767192958076,0
Russian Federation,Novosergiyevka,-0.8091242692621848,0,0.0,0,0.4484579952507058,0,-0.9071450750155413,0,-0.9168879774935187,0
United States of America,Oakley,0.03493517217747662,0,0.0,0,0.017622919591400794,0,1.952538879919646,0,0.20372589502480065,0
Germany,Oberhaching,1.1387052109831877,1,0.0,0,2.774967403810953,1,-0.9071450750155413,0,1.110889506111059,1
Poland,Katowice,1.9827646524228493,1,0.0,0,0.3622909801188448,0,1.3806020889326085,0,1.804602855765257,1
United Kingdom of Great Britain and Northern Ireland,Droitwich,-1.1986901653112594,0,0.0,0,-0.06854409554046022,0,1.3806020889326085,0,-1.1837008042835948,0
Russian Federation,Dugulubgey,-0.22477542518857307,0,0.0,0,1.0516271011737328,0,-0.33520828402850383,0,-0.009724366407260186,0
Germany,Garching,1.2036328603247002,1,0.0,0,0.5346250103825668,0,0.8086652979455711,0,1.1642520714690743,1
Portugal,Figueira Da Foz,-0.8740519186036972,0,0.0,0,0.3622909801188448,0,-0.33520828402850383,0,-1.2904259349996252,0
Italy,Fondi,0.9439222629586504,1,0.0,0,0.6207920255144278,0,0.23672850695853362,0,0.9508018100370136,1
Turkey,Gonen,0.16479047086050144,1,0.0,0,0.4484579952507058,0,-0.9071450750155413,0,0.31045102574083105,1
China,Hailar,-0.67926897057916,0,0.0,0,0.6207920255144278,0,-0.9071450750155413,0,-0.8635254121355035,0
Germany,Heide,0.03493517217747662,0,0.0,0,-0.24087812580418222,0,1.3806020889326085,0,0.20372589502480065,0
